ID,Requirement,Date
AP-003b, ,2023-08-11
AP-003d," The roll reference shall be set to the cockpit turn knob command, up to a 30 degree limit, if the turn knob is commanding 3 degrees or more in either direction. (we removed the ""up to a 30 degree limit"" part)",2023-08-11
NN-004," The absolute error between the zt truth data and the output z shall never exceed a tolerance of 0.01, for the equivalent input of (xt, yt).",2023-08-11
FSM-002, The autopilot shall change states from TRANSITION to STANDBY when the pilot is in control (standby).,2023-08-11
EUL-001C, ,2023-08-11
TSM-004, ,2023-08-11
AP-002B," Roll Autopilot shall engage when the pilot selects the autopilot engage switch in the cockpit and disengage when the switch is deselected. When not engaged, the command to the roll actuator shall be zero.",2023-08-11
EUL-001I, ,2023-08-11
EB-001, ,2023-08-11
AP-010a, ,2023-08-11
NN-003, ,2023-08-11
NLG-001, ,2023-08-11
NLG-002&3, ,2023-08-11
TUI-002, ,2023-08-11
EUL-001A," The Rotation Matrix Output, DCM321, of this Function Shall Equal a 3x3 Matrix Product of a 3x3 Euler 3 (Roll) Rotation Matrix times a 3x3 Euler 2 (Pitch) Rotation Matrix times a 3x3 Euler 1 (Heading) Rotation Matrix.",2023-08-11
EB-002, ,2023-08-11
AP-003A, ,2023-08-11
FSM-005, The autopilot shall change states from NOMINAL to STANDBYwhen the pilot is in control (standby).,2023-08-11
SWIM-002," 2.	When a low speed warning is allowed, as computed by the SWIM Airspeed algorithm, a low speed warning shall be true when the vehicle air data impact pressure is less than the warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished where:

The warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished is computed as

SWIM_Qcmin_lbspft2 = [(-2.0906 + 0.020306*Auto GCAS Minimum Vcas) + 0.1] * (70.7184 (lbspft2/in Hg))",2023-08-11
TSM-001," In the no-fail state, a mis-compare, which shall be characterized by one branch differing with the other two branches by a unique trip level that lasts for more than the persistence limit, shall be reported to failure management as a failure.",2023-08-11
TUI-001, ,2023-08-11
EB-004, ,2023-08-11
NN-003B, ,2023-08-11
FSM-003, The autopilot shall change states from TRANSITION to NOMINAL when the system is supported and sensor data is good.,2023-08-11
FSM-008v1, The autopilot shall change states from STANDBY to TRANSITION when the pilot is not in control (not standby),2023-08-11
NLG-005, ,2023-08-11
FSM-011v1, The sensor shall change states from NOMINAL to TRANSITION when the autopilot is not requesting support (not request),2023-08-11
AP-010b, ,2023-08-11
EUL-002C, ,2023-08-11
AP-002, ,2023-08-11
REG-004, The Inner Loop Airspeed Regulator Shall not command translational axial accelerations greater than the capability of the system (32 ft/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2023-08-11
AP-002a, Roll hold mode shall be the active mode whenever the autopilot is engaged and no other lateral mode is active.,2023-08-11
REG-001, The Inner Loop Roll Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2023-08-11
EUL-001d, ,2023-08-11
FSM-001v2, ,2023-08-11
TSM-003, ,2023-08-11
TSM-003b, ,2023-08-11
REG-006, The Inner Loop Roll Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2023-08-11
FSM-009, The autopilot shall change states from STANDBY to MANEUVER when a failure occurs (apfail),2023-08-11
FSM-001v3, ,2023-08-11
REG-005, The Inner Loop Height Regulator Shall not command translational height accelerations greater than the capability of the system (32 ft/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2023-08-11
FSM-004v2, The autopilot shall change states from NOMINAL to STANDBY when the pilot is in contronl (standby),2023-08-11
AP-004a, ,2023-08-11
FSM-008v2, ,2023-08-11
NLG-005a, ,2023-08-11
REG-007, The Inner Loop Pitch Regulator Shall not command transient changes in angular pitch acceleration greater than 50 deg/sec2/sec.,2023-08-11
TSM-003c, ,2023-08-11
NLG-005b, ,2023-08-11
EUL-002A," The Body Vector Output, Vb, of this Function Shall Equal a 3x1 Vector Product of the 3x3 Rotation Matrix Output, DCM321, times the Input Inertial Vector, Vi.",2023-08-11
AP-004b, ,2023-08-11
REG-008, The Inner Loop Yaw Regulator Shall not command transient changes in angular yaw acceleration greater than 50 deg/sec2/sec.,2023-08-11
NN-003A," 3.	Using a first order finite backward difference equation, the spatial derivatives of Δz/ Δxt = (z(n,1)-z(n-1))/(xt(n,1)-xt(n-1,1) and Δz/ Δyt = (z(n,1)-z(n-1))/(yt(n,1)-yt(n-1,1) shall never exceed a top bound of +10 or bottom bound of -35 (e.g. -35 <= Δz/ Δ(xt,yt) <= 10), where n denotes an index to the current values and n-1 denotes the prior values in the included truth data for xt and yt.    ",2023-08-11
TUI-003, ,2023-08-11
AP-005, ,2023-08-11
EUL-001F, ,2023-08-11
FSM-012, The sensor shall change states from FAULT to TRANSITION when the autopilot is not requesting support (not request) and limits are not exceeded (not limits),2023-08-11
REG-009, The Inner Loop Airspeed Regulator Shall not command transient changes in translational axial acceleration greater than 32 ft/sec2/sec.,2023-08-11
FSM-010, The sensor shall change states from NOMINAL to FAULT when limits are exceeded,2023-08-11
AP-001," Roll Autopilot shall engage when the pilot selects the autopilot engage switch in the cockpit and disengage when the switch is deselected. When not engaged, the command to the roll actuator shall be zero.",2023-08-11
AP-003B, ,2023-08-11
EUL-001, ,2023-08-11
